,Duration,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
64,135,0.0,3687,24,5,7,5,9,20,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
65,625,1.0,5894,24,6,10,35,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
66,170,0.0,5403,24,4,9,45,12,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
67,90,0.0,3625,6,5,13,55,15,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68,800,2.0,10861,21,5,5,55,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
69,135,0.0,6297,12,3,13,20,15,35,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
70,85,0.0,5678,1,6,7,5,8,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
71,1590,1.0,9134,9,3,5,45,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,440,1.0,10791,24,6,11,40,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
73,810,2.0,12819,24,6,23,5,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
74,300,1.0,6893,21,3,5,5,10,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
75,165,0.0,7240,9,3,9,50,12,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
76,170,0.0,3898,3,4,11,40,14,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
77,90,0.0,4049,3,4,6,25,7,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
78,1145,1.0,10262,15,6,17,30,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
79,135,0.0,3332,21,3,8,20,10,35,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
80,890,1.0,10844,9,6,21,10,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
81,160,0.0,7229,24,3,19,55,22,35,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,1330,1.0,13941,6,5,6,30,4,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
83,575,1.0,5894,27,6,11,25,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
84,600,1.0,10197,18,5,9,0,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
85,1280,1.0,13712,6,3,14,5,11,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,325,1.0,5636,24,6,2,0,7,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
87,1125,2.0,13014,6,6,9,40,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
88,740,1.0,7064,1,4,8,25,20,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,1080,1.0,10703,24,5,20,25,14,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
90,555,1.0,9646,27,5,13,15,22,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
91,665,1.0,17057,6,3,2,15,13,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
92,1050,1.0,13817,12,3,16,55,10,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,800,2.0,13748,6,3,5,55,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
94,155,0.0,4880,21,4,20,45,23,20,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
95,145,0.0,3540,21,6,5,15,7,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
96,160,0.0,3257,15,5,5,55,8,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
97,180,0.0,6478,3,6,19,50,22,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,85,0.0,8040,18,6,7,5,8,30,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
99,995,2.0,14300,12,6,20,0,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
100,740,1.0,14781,15,5,8,25,20,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
101,735,1.0,14939,9,6,20,0,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
102,450,1.0,10262,24,6,20,55,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
103,1440,1.0,6528,12,5,14,35,14,35,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
104,165,0.0,6121,1,5,6,10,8,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
105,535,2.0,13029,18,5,19,30,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
106,430,1.0,11421,27,3,11,40,18,50,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
107,870,1.0,7574,27,3,4,45,19,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
108,1820,2.0,11596,9,5,12,55,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
109,1195,2.0,15129,24,5,23,5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
110,900,1.0,13555,18,3,14,5,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,175,0.0,5780,12,4,18,55,21,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
112,765,1.0,9397,12,5,20,20,9,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
113,610,1.0,17024,6,3,18,15,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
114,355,1.0,5281,27,6,7,0,12,55,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
115,925,1.0,10348,18,5,7,5,22,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
116,965,1.0,12677,6,3,17,20,9,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
117,610,1.0,15147,3,3,15,25,1,35,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
118,160,0.0,4668,12,6,7,0,9,40,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
119,715,1.0,15554,9,5,7,5,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
120,160,0.0,3971,9,4,5,55,8,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
121,85,0.0,3100,3,5,15,0,16,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
122,845,1.0,9663,6,5,20,0,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,1215,1.0,27430,1,3,23,0,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
124,145,0.0,3540,12,5,5,15,7,40,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
125,1390,2.0,10676,21,5,12,0,11,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
126,1090,1.0,13044,12,6,14,5,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
127,960,1.0,14388,6,5,20,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
128,170,0.0,3943,24,6,4,0,6,50,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,140,0.0,3597,3,6,14,45,17,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
130,480,1.0,5932,21,3,11,50,19,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
131,1015,1.0,10262,15,6,11,30,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
132,190,0.0,6216,12,5,14,40,17,50,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
133,165,0.0,4804,15,6,20,25,23,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
134,840,1.0,14067,21,5,11,30,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
135,1430,2.0,15129,18,5,19,10,19,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
136,1300,2.0,13376,6,6,6,45,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
137,1275,2.0,10441,27,6,22,0,19,15,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
138,165,0.0,4030,24,5,6,0,8,45,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,650,1.0,17024,3,3,8,0,18,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
140,480,1.0,13017,9,4,17,30,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
141,495,1.0,6686,6,6,23,30,7,45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
142,325,1.0,5636,15,6,2,0,7,25,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
143,515,1.0,6442,9,6,7,35,16,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
144,710,1.0,9486,21,5,13,5,0,55,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,1655,1.0,10844,21,5,20,0,23,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
146,505,2.0,15318,3,6,20,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
147,1255,1.0,5117,3,4,12,30,9,25,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
148,290,1.0,6147,24,6,15,10,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
149,490,1.0,7005,9,6,12,50,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
150,140,0.0,3873,3,4,22,20,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
151,1465,2.0,9270,21,3,18,25,18,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
152,170,0.0,3898,27,6,11,40,14,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,740,1.0,14781,12,5,8,25,20,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
154,735,1.0,8586,24,5,20,0,8,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,1415,2.0,10697,9,5,8,20,7,55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
156,995,2.0,14300,27,6,20,0,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
157,170,0.0,8855,3,3,18,55,21,45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,1545,1.0,10844,12,5,16,30,18,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
159,1570,1.0,17024,6,3,2,15,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
160,1730,1.0,9314,1,5,9,35,14,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
161,165,0.0,4777,24,3,0,40,3,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,1515,1.0,7662,9,6,12,0,13,15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
163,560,1.0,6442,9,5,6,50,16,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
164,270,1.0,5264,12,6,8,45,13,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
165,925,1.0,12898,27,5,13,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
166,90,0.0,6092,3,3,13,55,15,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
167,160,0.0,3311,21,5,5,55,8,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
168,550,1.0,6540,27,3,19,15,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
169,165,0.0,3419,27,5,1,30,4,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
170,1355,1.0,5177,3,4,14,0,12,35,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
171,185,0.0,8246,18,4,18,5,21,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
172,690,1.0,14676,9,6,9,35,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
173,570,1.0,13587,27,6,11,30,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
174,730,1.0,9663,6,5,21,10,9,20,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
175,1055,1.0,13044,12,6,16,30,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
176,305,1.0,5073,3,4,20,25,1,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
177,1550,1.0,9345,21,5,17,0,18,50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
178,1200,1.0,9663,6,5,14,5,10,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
179,780,1.0,14277,21,5,8,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
180,1105,1.0,10262,1,6,10,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
181,90,0.0,5678,27,3,19,35,21,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
182,570,1.0,13727,15,5,16,0,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
183,960,1.0,9663,6,5,20,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
184,140,0.0,3858,12,5,14,45,17,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
185,270,1.0,4812,24,6,8,45,13,15,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
186,345,1.0,5775,27,6,21,50,3,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
187,1450,1.0,10539,6,6,9,35,9,45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
188,155,0.0,4804,3,6,15,30,18,5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
189,165,0.0,3383,12,6,11,10,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
190,295,1.0,8738,3,3,12,10,17,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
191,1535,1.0,7165,27,3,5,15,6,50,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
192,380,1.0,6412,24,6,16,10,22,30,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
193,185,0.0,8016,27,6,18,55,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,1120,1.0,11087,12,3,20,35,15,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
195,135,0.0,3543,27,6,9,45,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
196,730,1.0,12471,12,6,16,30,4,40,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
197,1165,1.0,10262,24,6,9,0,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
198,170,0.0,4441,18,3,13,20,16,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
199,505,1.0,12537,27,3,7,5,15,30,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
200,555,1.0,10091,24,3,22,25,7,40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
201,170,0.0,6961,3,6,21,5,23,55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
202,195,0.0,5013,24,4,5,35,8,50,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
203,170,0.0,6934,18,5,5,10,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
204,740,1.0,10877,3,6,6,40,19,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
205,175,0.0,7229,18,4,15,15,18,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,575,1.0,7048,27,3,16,0,1,35,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
207,155,0.0,4878,27,6,17,0,19,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
208,570,1.0,10844,21,5,14,5,23,35,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
209,1760,2.0,15129,18,5,23,5,4,25,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
210,175,0.0,3943,12,5,0,30,3,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
211,315,1.0,5583,6,6,6,5,11,20,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
