,Airline,Source,Destination,Duration,Total_Stops,Price,Day_of_Journey,Month_of_Journey,Dep_Hour,Dep_Minute,Arrival_Hour,Arrival_Minute
45,SpiceJet,Banglore,New Delhi,170,0.0,3527,24,3,5,45,8,35
46,IndiGo,Banglore,Delhi,170,0.0,3943,27,5,4,0,6,50
47,Air India,Chennai,Kolkata,135,0.0,4667,3,5,11,40,13,55
48,Air India,Kolkata,Banglore,965,1.0,6117,15,5,19,0,11,5
49,Jet Airways,Delhi,Cochin,1195,2.0,11150,27,6,23,5,19,0
50,Jet Airways,Delhi,Cochin,195,0.0,7202,9,3,11,0,14,15
51,Jet Airways,Kolkata,Banglore,1520,1.0,12121,1,5,9,35,10,55
52,IndiGo,Banglore,New Delhi,170,0.0,4377,24,3,22,20,1,10
53,IndiGo,Banglore,Delhi,180,0.0,3943,18,6,21,15,0,15
54,Air Asia,Banglore,Delhi,170,0.0,4483,3,4,23,55,2,45
55,Jet Airways,Kolkata,Banglore,975,1.0,14231,24,3,19,45,12,0
56,Air India,Banglore,New Delhi,905,2.0,17345,1,3,8,50,23,55
57,Vistara,Chennai,Kolkata,135,0.0,7414,6,3,7,5,9,20
58,Multiple carriers,Delhi,Cochin,390,1.0,8073,6,5,19,0,1,30
59,Vistara,Mumbai,Hyderabad,1505,1.0,12395,6,3,15,40,16,45
60,Air India,Kolkata,Banglore,745,1.0,8366,6,6,9,25,21,50
61,Air India,Delhi,Cochin,1640,1.0,5117,3,4,6,5,9,25
62,Multiple carriers,Delhi,Cochin,615,1.0,12524,3,6,8,45,19,0
63,IndiGo,Delhi,Cochin,630,1.0,7191,15,5,15,0,1,30
64,Vistara,Chennai,Kolkata,135,0.0,3687,24,5,7,5,9,20
65,IndiGo,Delhi,Cochin,625,1.0,5894,24,6,10,35,21,0
66,Vistara,Banglore,Delhi,170,0.0,5403,24,4,9,45,12,35
67,Air India,Mumbai,Hyderabad,90,0.0,3625,6,5,13,55,15,25
68,Air India,Delhi,Cochin,800,2.0,10861,21,5,5,55,19,15
69,IndiGo,Chennai,Kolkata,135,0.0,6297,12,3,13,20,15,35
70,Jet Airways,Mumbai,Hyderabad,85,0.0,5678,1,6,7,5,8,30
71,Jet Airways,Banglore,New Delhi,1590,1.0,9134,9,3,5,45,8,15
72,Multiple carriers,Delhi,Cochin,440,1.0,10791,24,6,11,40,19,0
73,Jet Airways,Delhi,Cochin,810,2.0,12819,24,6,23,5,12,35
74,IndiGo,Delhi,Cochin,300,1.0,6893,21,3,5,5,10,5
75,Vistara,Banglore,New Delhi,165,0.0,7240,9,3,9,50,12,35
76,GoAir,Banglore,Delhi,170,0.0,3898,3,4,11,40,14,30
77,IndiGo,Mumbai,Hyderabad,90,0.0,4049,3,4,6,25,7,55
78,Jet Airways,Delhi,Cochin,1145,1.0,10262,15,6,17,30,12,35
79,SpiceJet,Chennai,Kolkata,135,0.0,3332,21,3,8,20,10,35
80,Jet Airways,Kolkata,Banglore,890,1.0,10844,9,6,21,10,12,0
81,Jet Airways,Banglore,New Delhi,160,0.0,7229,24,3,19,55,22,35
82,Jet Airways,Kolkata,Banglore,1330,1.0,13941,6,5,6,30,4,40
83,IndiGo,Delhi,Cochin,575,1.0,5894,27,6,11,25,21,0
84,Multiple carriers,Delhi,Cochin,600,1.0,10197,18,5,9,0,19,0
85,Jet Airways,Banglore,New Delhi,1280,1.0,13712,6,3,14,5,11,25
86,IndiGo,Delhi,Cochin,325,1.0,5636,24,6,2,0,7,25
87,Jet Airways,Delhi,Cochin,1125,2.0,13014,6,6,9,40,4,25
88,Jet Airways,Kolkata,Banglore,740,1.0,7064,1,4,8,25,20,45
89,Jet Airways,Kolkata,Banglore,1080,1.0,10703,24,5,20,25,14,25
90,Multiple carriers,Delhi,Cochin,555,1.0,9646,27,5,13,15,22,30
91,Multiple carriers,Delhi,Cochin,665,1.0,17057,6,3,2,15,13,20
92,Jet Airways,Banglore,New Delhi,1050,1.0,13817,12,3,16,55,10,25
93,Air India,Delhi,Cochin,800,2.0,13748,6,3,5,55,19,15
94,Air India,Kolkata,Banglore,155,0.0,4880,21,4,20,45,23,20
95,IndiGo,Chennai,Kolkata,145,0.0,3540,21,6,5,15,7,40
96,SpiceJet,Banglore,Delhi,160,0.0,3257,15,5,5,55,8,35
97,Jet Airways,Banglore,Delhi,180,0.0,6478,3,6,19,50,22,50
98,Jet Airways,Mumbai,Hyderabad,85,0.0,8040,18,6,7,5,8,30
99,Jet Airways,Delhi,Cochin,995,2.0,14300,12,6,20,0,12,35
100,Jet Airways,Kolkata,Banglore,740,1.0,14781,15,5,8,25,20,45
101,Jet Airways,Kolkata,Banglore,735,1.0,14939,9,6,20,0,8,15
102,Jet Airways,Delhi,Cochin,450,1.0,10262,24,6,20,55,4,25
103,Air India,Kolkata,Banglore,1440,1.0,6528,12,5,14,35,14,35
104,Air India,Banglore,Delhi,165,0.0,6121,1,5,6,10,8,55
105,Jet Airways,Delhi,Cochin,535,2.0,13029,18,5,19,30,4,25
106,Multiple carriers,Delhi,Cochin,430,1.0,11421,27,3,11,40,18,50
107,Multiple carriers,Delhi,Cochin,870,1.0,7574,27,3,4,45,19,15
108,Air India,Delhi,Cochin,1820,2.0,11596,9,5,12,55,19,15
109,Jet Airways,Delhi,Cochin,1195,2.0,15129,24,5,23,5,19,0
110,Jet Airways,Banglore,New Delhi,900,1.0,13555,18,3,14,5,5,5
111,IndiGo,Banglore,Delhi,175,0.0,5780,12,4,18,55,21,50
112,Vistara,Kolkata,Banglore,765,1.0,9397,12,5,20,20,9,5
113,Jet Airways,Delhi,Cochin,610,1.0,17024,6,3,18,15,4,25
114,GoAir,Delhi,Cochin,355,1.0,5281,27,6,7,0,12,55
115,Multiple carriers,Delhi,Cochin,925,1.0,10348,18,5,7,5,22,30
116,Air India,Delhi,Cochin,965,1.0,12677,6,3,17,20,9,25
117,Multiple carriers,Delhi,Cochin,610,1.0,15147,3,3,15,25,1,35
118,Vistara,Banglore,Delhi,160,0.0,4668,12,6,7,0,9,40
119,Jet Airways,Delhi,Cochin,715,1.0,15554,9,5,7,5,19,0
120,SpiceJet,Banglore,Delhi,160,0.0,3971,9,4,5,55,8,35
121,Air India,Mumbai,Hyderabad,85,0.0,3100,3,5,15,0,16,25
122,Jet Airways,Kolkata,Banglore,845,1.0,9663,6,5,20,0,10,5
123,Air India,Delhi,Cochin,1215,1.0,27430,1,3,23,0,19,15
124,IndiGo,Chennai,Kolkata,145,0.0,3540,12,5,5,15,7,40
125,Air India,Kolkata,Banglore,1390,2.0,10676,21,5,12,0,11,10
126,Jet Airways,Kolkata,Banglore,1090,1.0,13044,12,6,14,5,8,15
127,Jet Airways,Kolkata,Banglore,960,1.0,14388,6,5,20,0,12,0
128,IndiGo,Banglore,Delhi,170,0.0,3943,24,6,4,0,6,50
129,IndiGo,Chennai,Kolkata,140,0.0,3597,3,6,14,45,17,5
130,Air India,Banglore,New Delhi,480,1.0,5932,21,3,11,50,19,50
131,Jet Airways,Delhi,Cochin,1015,1.0,10262,15,6,11,30,4,25
132,Vistara,Delhi,Cochin,190,0.0,6216,12,5,14,40,17,50
133,IndiGo,Kolkata,Banglore,165,0.0,4804,15,6,20,25,23,10
134,Multiple carriers,Delhi,Cochin,840,1.0,14067,21,5,11,30,1,30
135,Jet Airways,Delhi,Cochin,1430,2.0,15129,18,5,19,10,19,0
136,Jet Airways,Delhi,Cochin,1300,2.0,13376,6,6,6,45,4,25
137,Air India,Delhi,Cochin,1275,2.0,10441,27,6,22,0,19,15
138,Jet Airways,Banglore,Delhi,165,0.0,4030,24,5,6,0,8,45
139,Jet Airways,Delhi,Cochin,650,1.0,17024,3,3,8,0,18,50
140,Multiple carriers,Delhi,Cochin,480,1.0,13017,9,4,17,30,1,30
141,GoAir,Kolkata,Banglore,495,1.0,6686,6,6,23,30,7,45
142,IndiGo,Delhi,Cochin,325,1.0,5636,15,6,2,0,7,25
143,IndiGo,Delhi,Cochin,515,1.0,6442,9,6,7,35,16,10
144,Multiple carriers,Delhi,Cochin,710,1.0,9486,21,5,13,5,0,55
145,Jet Airways,Kolkata,Banglore,1655,1.0,10844,21,5,20,0,23,35
146,Jet Airways,Delhi,Cochin,505,2.0,15318,3,6,20,0,4,25
147,Air India,Delhi,Cochin,1255,1.0,5117,3,4,12,30,9,25
148,IndiGo,Delhi,Cochin,290,1.0,6147,24,6,15,10,20,0
149,Multiple carriers,Delhi,Cochin,490,1.0,7005,9,6,12,50,21,0
150,SpiceJet,Kolkata,Banglore,140,0.0,3873,3,4,22,20,0,40
151,Jet Airways,Delhi,Cochin,1465,2.0,9270,21,3,18,25,18,50
152,GoAir,Banglore,Delhi,170,0.0,3898,27,6,11,40,14,30
153,Jet Airways,Kolkata,Banglore,740,1.0,14781,12,5,8,25,20,45
154,Jet Airways,Kolkata,Banglore,735,1.0,8586,24,5,20,0,8,15
155,Air India,Kolkata,Banglore,1415,2.0,10697,9,5,8,20,7,55
156,Jet Airways,Delhi,Cochin,995,2.0,14300,27,6,20,0,12,35
157,IndiGo,Banglore,New Delhi,170,0.0,8855,3,3,18,55,21,45
158,Jet Airways,Kolkata,Banglore,1545,1.0,10844,12,5,16,30,18,15
159,Jet Airways,Delhi,Cochin,1570,1.0,17024,6,3,2,15,4,25
160,Jet Airways,Kolkata,Banglore,1730,1.0,9314,1,5,9,35,14,25
161,IndiGo,Banglore,New Delhi,165,0.0,4777,24,3,0,40,3,25
162,Air India,Kolkata,Banglore,1515,1.0,7662,9,6,12,0,13,15
163,IndiGo,Delhi,Cochin,560,1.0,6442,9,5,6,50,16,10
164,SpiceJet,Delhi,Cochin,270,1.0,5264,12,6,8,45,13,15
165,Jet Airways,Delhi,Cochin,925,1.0,12898,27,5,13,0,4,25
166,Air India,Mumbai,Hyderabad,90,0.0,6092,3,3,13,55,15,25
167,SpiceJet,Banglore,Delhi,160,0.0,3311,21,5,5,55,8,35
168,Jet Airways,Delhi,Cochin,550,1.0,6540,27,3,19,15,4,25
169,IndiGo,Banglore,Delhi,165,0.0,3419,27,5,1,30,4,15
170,Jet Airways,Delhi,Cochin,1355,1.0,5177,3,4,14,0,12,35
171,Air India,Delhi,Cochin,185,0.0,8246,18,4,18,5,21,10
172,Jet Airways,Kolkata,Banglore,690,1.0,14676,9,6,9,35,21,5
173,Multiple carriers,Delhi,Cochin,570,1.0,13587,27,6,11,30,21,0
174,Jet Airways,Kolkata,Banglore,730,1.0,9663,6,5,21,10,9,20
175,Jet Airways,Kolkata,Banglore,1055,1.0,13044,12,6,16,30,10,5
176,IndiGo,Delhi,Cochin,305,1.0,5073,3,4,20,25,1,30
177,Vistara,Kolkata,Banglore,1550,1.0,9345,21,5,17,0,18,50
178,Jet Airways,Kolkata,Banglore,1200,1.0,9663,6,5,14,5,10,5
179,Multiple carriers,Delhi,Cochin,780,1.0,14277,21,5,8,0,21,0
180,Jet Airways,Delhi,Cochin,1105,1.0,10262,1,6,10,0,4,25
181,Jet Airways,Mumbai,Hyderabad,90,0.0,5678,27,3,19,35,21,5
182,Multiple carriers,Delhi,Cochin,570,1.0,13727,15,5,16,0,1,30
183,Jet Airways,Kolkata,Banglore,960,1.0,9663,6,5,20,0,12,0
184,IndiGo,Chennai,Kolkata,140,0.0,3858,12,5,14,45,17,5
185,SpiceJet,Delhi,Cochin,270,1.0,4812,24,6,8,45,13,15
186,IndiGo,Delhi,Cochin,345,1.0,5775,27,6,21,50,3,35
187,Jet Airways,Kolkata,Banglore,1450,1.0,10539,6,6,9,35,9,45
188,IndiGo,Kolkata,Banglore,155,0.0,4804,3,6,15,30,18,5
189,Air Asia,Banglore,Delhi,165,0.0,3383,12,6,11,10,13,55
190,IndiGo,Banglore,New Delhi,295,1.0,8738,3,3,12,10,17,5
191,Air India,Delhi,Cochin,1535,1.0,7165,27,3,5,15,6,50
192,IndiGo,Delhi,Cochin,380,1.0,6412,24,6,16,10,22,30
193,Jet Airways,Banglore,Delhi,185,0.0,8016,27,6,18,55,22,0
194,Jet Airways,Banglore,New Delhi,1120,1.0,11087,12,3,20,35,15,15
195,SpiceJet,Chennai,Kolkata,135,0.0,3543,27,6,9,45,12,0
196,Jet Airways,Kolkata,Banglore,730,1.0,12471,12,6,16,30,4,40
197,Jet Airways,Delhi,Cochin,1165,1.0,10262,24,6,9,0,4,25
198,Air India,Banglore,New Delhi,170,0.0,4441,18,3,13,20,16,10
199,Multiple carriers,Delhi,Cochin,505,1.0,12537,27,3,7,5,15,30
200,GoAir,Kolkata,Banglore,555,1.0,10091,24,3,22,25,7,40
201,Air India,Banglore,Delhi,170,0.0,6961,3,6,21,5,23,55
202,IndiGo,Delhi,Cochin,195,0.0,5013,24,4,5,35,8,50
203,Air India,Delhi,Cochin,170,0.0,6934,18,5,5,10,8,0
204,Multiple carriers,Delhi,Cochin,740,1.0,10877,3,6,6,40,19,0
205,Jet Airways,Banglore,Delhi,175,0.0,7229,18,4,15,15,18,10
206,IndiGo,Delhi,Cochin,575,1.0,7048,27,3,16,0,1,35
207,Vistara,Banglore,Delhi,155,0.0,4878,27,6,17,0,19,35
208,Jet Airways,Kolkata,Banglore,570,1.0,10844,21,5,14,5,23,35
209,Jet Airways,Delhi,Cochin,1760,2.0,15129,18,5,23,5,4,25
210,IndiGo,Banglore,Delhi,175,0.0,3943,12,5,0,30,3,25
211,SpiceJet,Delhi,Cochin,315,1.0,5583,6,6,6,5,11,20
212,Multiple carriers,Delhi,Cochin,545,1.0,9646,6,6,7,5,16,10
213,Multiple carriers,Delhi,Cochin,645,1.0,7677,3,6,8,30,19,15
214,IndiGo,Delhi,Cochin,295,1.0,6842,1,6,5,10,10,5
215,Jet Airways,Mumbai,Hyderabad,90,0.0,4995,24,6,8,45,10,15
216,Vistara,Kolkata,Banglore,700,1.0,9555,9,6,7,10,18,50
217,IndiGo,Banglore,Delhi,165,0.0,4077,1,6,1,30,4,15
218,Jet Airways,Banglore,Delhi,175,0.0,7229,12,5,15,15,18,10
219,Multiple carriers,Delhi,Cochin,600,1.0,12192,9,6,9,0,19,0
220,Air India,Banglore,Delhi,165,0.0,5911,12,4,10,0,12,45
221,Air India,Delhi,Cochin,615,1.0,8372,12,6,9,0,19,15
222,Jet Airways,Mumbai,Hyderabad,85,0.0,4995,18,3,7,10,8,35
223,Multiple carriers,Delhi,Cochin,555,1.0,14323,9,5,10,0,19,15
224,Jet Airways,Delhi,Cochin,1375,2.0,13014,9,6,5,30,4,25
225,Air India,Delhi,Cochin,1730,2.0,13591,6,6,14,25,19,15
226,Jet Airways,Delhi,Cochin,2245,2.0,18799,3,3,5,25,18,50
227,IndiGo,Banglore,Delhi,170,0.0,3943,27,4,23,30,2,20
228,SpiceJet,Mumbai,Hyderabad,90,0.0,1965,21,5,5,45,7,15
229,Jet Airways,Mumbai,Hyderabad,90,0.0,4995,27,5,10,20,11,50
230,Air India,Kolkata,Banglore,1540,1.0,14641,24,3,16,50,18,30
231,Air India,Kolkata,Banglore,155,0.0,4460,12,4,20,45,23,20
232,Air India,Delhi,Cochin,375,1.0,10191,18,5,13,0,19,15
233,Jet Airways,Delhi,Cochin,1050,1.0,13843,9,3,2,15,19,45
234,IndiGo,Delhi,Cochin,345,1.0,6349,1,5,21,50,3,35
235,Air Asia,Kolkata,Banglore,155,0.0,4409,1,5,10,20,12,55
236,Jet Airways,Delhi,Cochin,1530,1.0,17024,6,3,18,15,19,45
237,Multiple carriers,Delhi,Cochin,835,1.0,13727,18,5,7,5,21,0
238,IndiGo,Banglore,New Delhi,175,0.0,8855,15,3,18,25,21,20
239,Multiple carriers,Delhi,Cochin,615,1.0,12524,24,6,8,45,19,0
240,Jet Airways,Banglore,New Delhi,520,1.0,13555,18,3,11,40,20,20
241,Jet Airways,Kolkata,Banglore,330,1.0,10844,6,6,6,30,12,0
242,Multiple carriers,Delhi,Cochin,720,1.0,13587,9,6,9,0,21,0
243,SpiceJet,Chennai,Kolkata,135,0.0,3543,12,6,9,45,12,0
244,Vistara,Chennai,Kolkata,135,0.0,4842,18,3,7,5,9,20
245,IndiGo,Banglore,Delhi,170,0.0,3943,24,4,23,30,2,20
246,Jet Airways,Delhi,Cochin,550,1.0,10577,9,6,19,15,4,25
247,IndiGo,Delhi,Cochin,625,1.0,6979,15,5,10,35,21,0
248,Vistara,Chennai,Kolkata,140,0.0,11982,27,6,17,45,20,5
249,SpiceJet,Delhi,Cochin,270,1.0,5264,6,6,8,45,13,15
250,Vistara,Delhi,Cochin,190,0.0,8001,3,3,6,0,9,10
251,Air India,Delhi,Cochin,1410,2.0,10651,1,6,19,45,19,15
252,Jet Airways,Kolkata,Banglore,1640,1.0,10844,24,5,16,30,19,50
253,Multiple carriers,Delhi,Cochin,755,1.0,6601,27,3,9,45,22,20
254,Air India,Delhi,Cochin,1455,1.0,6587,21,3,19,0,19,15
255,SpiceJet,Mumbai,Hyderabad,80,0.0,3173,21,3,13,10,14,30
256,Air India,Banglore,Delhi,165,0.0,5228,9,5,10,0,12,45
257,Jet Airways,Banglore,Delhi,180,0.0,5769,21,6,7,10,10,10
258,Jet Airways,Delhi,Cochin,660,1.0,14714,6,6,8,0,19,0
259,Jet Airways,Delhi,Cochin,810,2.0,13014,3,6,5,30,19,0
260,IndiGo,Banglore,Delhi,170,0.0,3359,3,6,22,10,1,0
261,GoAir,Banglore,New Delhi,175,0.0,6722,3,3,20,55,23,50
262,IndiGo,Kolkata,Banglore,165,0.0,4462,18,3,9,35,12,20
263,IndiGo,Delhi,Cochin,675,1.0,6171,9,3,4,55,16,10
264,Air India,Kolkata,Banglore,875,2.0,12303,21,5,5,50,20,25
265,Multiple carriers,Delhi,Cochin,835,1.0,7695,21,3,11,40,1,35
266,IndiGo,Delhi,Cochin,845,1.0,5684,24,6,11,25,1,30
267,Air India,Kolkata,Banglore,905,1.0,8366,12,6,16,50,7,55
268,Air India,Chennai,Kolkata,135,0.0,19630,1,3,11,40,13,55
269,Jet Airways,Banglore,New Delhi,900,1.0,13502,6,3,14,5,5,5
270,Jet Airways,Kolkata,Banglore,775,1.0,14781,1,5,21,10,10,5
271,Multiple carriers,Delhi,Cochin,540,1.0,6513,12,6,7,10,16,10
272,Air India,Delhi,Cochin,735,1.0,9929,1,6,7,0,19,15
273,Multiple carriers,Delhi,Cochin,460,2.0,18275,6,6,17,50,1,30
274,Air India,Delhi,Cochin,1640,1.0,4487,9,4,6,5,9,25
275,IndiGo,Mumbai,Hyderabad,85,0.0,2754,15,3,21,20,22,45
276,Air India,Mumbai,Hyderabad,80,0.0,2575,27,3,6,20,7,40
277,SpiceJet,Kolkata,Banglore,330,1.0,8224,12,6,15,55,21,25
278,Air India,Delhi,Cochin,705,1.0,8991,9,3,20,30,8,15
279,IndiGo,Delhi,Cochin,195,0.0,5000,24,6,5,35,8,50
280,Jet Airways,Kolkata,Banglore,1495,1.0,8529,12,6,18,55,19,50
281,Air India,Delhi,Cochin,1640,1.0,14042,3,3,6,5,9,25
282,Jet Airways,Banglore,Delhi,175,0.0,4030,24,5,11,10,14,5
283,Jet Airways,Kolkata,Banglore,1025,1.0,10844,6,6,18,55,12,0
284,IndiGo,Kolkata,Banglore,160,0.0,4804,6,5,21,25,0,5
285,Multiple carriers,Delhi,Cochin,480,1.0,7308,27,5,17,30,1,30
286,IndiGo,Banglore,Delhi,180,0.0,4823,12,5,16,55,19,55
287,Jet Airways,Delhi,Cochin,1655,1.0,10262,24,6,9,0,12,35
288,Jet Airways,Delhi,Cochin,450,1.0,12898,27,5,20,55,4,25
289,Air India,Banglore,New Delhi,1375,2.0,12778,12,3,17,25,16,20
290,IndiGo,Delhi,Cochin,515,1.0,14871,3,3,4,45,13,20
291,Air India,Delhi,Cochin,1795,2.0,8708,21,3,13,20,19,15
292,Jet Airways,Kolkata,Banglore,1335,1.0,10844,6,6,20,0,18,15
293,SpiceJet,Mumbai,Hyderabad,80,0.0,4129,6,3,5,45,7,5
294,IndiGo,Kolkata,Banglore,160,0.0,4804,18,5,21,25,0,5
295,Jet Airways,Banglore,Delhi,180,0.0,7229,6,5,8,20,11,20
296,Jet Airways,Banglore,New Delhi,730,1.0,7832,21,3,7,0,19,10
297,SpiceJet,Chennai,Kolkata,155,0.0,3859,18,3,9,30,12,5
298,Multiple carriers,Delhi,Cochin,705,1.0,9001,6,6,7,30,19,15
299,Vistara,Banglore,Delhi,155,0.0,4878,9,5,17,0,19,35
300,IndiGo,Mumbai,Hyderabad,90,0.0,2754,3,5,2,35,4,5
301,Vistara,Banglore,Delhi,160,0.0,4668,27,6,7,0,9,40
302,Air Asia,Kolkata,Banglore,155,0.0,5216,12,5,10,20,12,55
303,Jet Airways,Delhi,Cochin,1375,2.0,10368,6,6,5,30,4,25
304,IndiGo,Delhi,Cochin,880,2.0,8146,9,3,6,40,21,20
305,Jet Airways,Delhi,Cochin,925,1.0,12242,27,3,13,0,4,25
306,Jet Airways,Banglore,New Delhi,435,1.0,9134,15,3,8,0,15,15
307,Air India,Delhi,Cochin,1210,2.0,10939,6,6,13,15,9,25
308,Air India,Delhi,Cochin,1245,2.0,11753,6,6,10,55,7,40
309,SpiceJet,Kolkata,Banglore,150,0.0,4174,24,4,17,10,19,40
310,Jet Airways,Kolkata,Banglore,1430,1.0,10844,21,5,20,0,19,50
311,Jet Airways,Delhi,Cochin,1620,1.0,14714,3,6,16,0,19,0
312,Jet Airways,Kolkata,Banglore,330,1.0,9899,12,6,6,30,12,0
313,IndiGo,Delhi,Cochin,710,1.0,14871,3,3,9,10,21,0
314,IndiGo,Chennai,Kolkata,135,0.0,7295,6,3,13,20,15,35
315,Air India,Delhi,Cochin,1470,2.0,13465,6,6,18,45,19,15
316,SpiceJet,Chennai,Kolkata,140,0.0,3543,21,5,17,45,20,5
317,Multiple carriers,Delhi,Cochin,390,1.0,7198,27,6,19,0,1,30
318,Jet Airways,Delhi,Cochin,1225,1.0,10262,1,6,8,0,4,25
319,IndiGo,Kolkata,Banglore,155,0.0,4148,15,3,15,20,17,55
320,Jet Airways,Banglore,Delhi,175,0.0,8016,27,6,15,15,18,10
321,Jet Airways,Delhi,Cochin,335,1.0,10262,9,6,22,50,4,25
322,SpiceJet,Kolkata,Banglore,150,0.0,3841,15,6,14,55,17,25
323,Jet Airways,Banglore,New Delhi,885,1.0,11507,12,3,9,45,0,30
324,Jet Airways,Kolkata,Banglore,740,1.0,14781,1,5,8,25,20,45
325,Jet Airways,Delhi,Cochin,1530,1.0,16079,27,5,17,30,19,0
326,Jet Airways,Delhi,Cochin,335,1.0,12898,27,5,22,50,4,25
327,Multiple carriers,Delhi,Cochin,705,1.0,15353,6,3,7,30,19,15
328,IndiGo,Banglore,New Delhi,175,0.0,7303,24,3,18,25,21,20
329,SpiceJet,Kolkata,Banglore,340,1.0,6197,24,3,15,5,20,45
330,Air India,Kolkata,Banglore,245,1.0,8996,9,6,9,10,13,15
331,IndiGo,Delhi,Cochin,480,1.0,6528,21,3,14,20,22,20
332,GoAir,Banglore,Delhi,165,0.0,4239,9,4,20,55,23,40
333,IndiGo,Kolkata,Banglore,160,0.0,4148,12,3,20,25,23,5
334,SpiceJet,Banglore,Delhi,175,0.0,3971,24,5,21,10,0,5
335,Air Asia,Kolkata,Banglore,955,1.0,5192,6,5,7,35,23,30
336,Jet Airways,Delhi,Cochin,1390,2.0,9483,9,4,13,25,12,35
337,Jet Airways,Delhi,Cochin,440,2.0,18804,3,6,11,40,19,0
338,Air India,Delhi,Cochin,170,0.0,5201,18,6,5,10,8,0
339,Jet Airways,Delhi,Cochin,450,1.0,16079,27,5,11,30,19,0
340,Jet Airways,Banglore,Delhi,180,0.0,7229,15,6,19,50,22,50
341,Multiple carriers,Delhi,Cochin,465,1.0,6795,27,5,17,45,1,30
342,Jet Airways,Kolkata,Banglore,1520,1.0,10953,9,5,9,35,10,55
343,Multiple carriers,Delhi,Cochin,625,2.0,15965,24,6,15,5,1,30
344,Air India,Delhi,Cochin,1820,2.0,9968,9,4,12,55,19,15
345,IndiGo,Kolkata,Banglore,155,0.0,4804,6,6,22,15,0,50
